summonerId,puuid
6J8o7o_eaxEJSvRumi-sUT3yQTEVjILSRnp5l7YFrlLPyGBH,Lkvtue3i9zsWLpgH4C67QCGYgZPhZaOuFxtcjW5KMD2ZnbiGH-vv21fgaheI1qMgOXnCfTXDDW1JHw
pdJ6-JoJICRUoVXSCSOZ4tzACDhfmwjYP3GDVUVx5Hydl4M,V5rRLrNHyNKLxsAPSDdP5TSJOLtn1RGb6_Md5qFi0H0k34QgXIurEdsOfmQVTro0oGKsVkICVDLu4A
isEW0VP-PYA5U8QrYNYilO62hKRULcGWj295fNfkV9RJaHA,-EUQqTzsCA0GYHvXvkqjqup5nDFaeY5UPx4Mwqu-oodbYC5nxkDcisDJif0p_-ElSfynC64ri_o-OQ
VARXjgQKBJpEVW0prVbiZXshBJ6hkMkd1m6i3IXfUxwezIx7LD73RErxTg,mo24Ib2IX1vLhTPi43ea_IGPaVGQHWW_zkX_22nY5wcCI3KdgMUxaLvHM-0URzWn6rG15GiUeppgnw
yf-34coN9FPf1oqsPZh-AZYB_228cFVciCmaApk7qzudjuRrYA2i1CFcQA,MNzru7Aw5i2mZEFAGeivF4u8noA8ps28k6186-RAfRlCVLUccQaKFDWF19jvMsiNk6Wc8AE-60vm2w
b-Jl35iMprNqcowT19KxmOZg_2K5cLzUnuOjYXfw7TGLxCDr,Jh_yh5MKp8gg0YCzaDOFJ4AUBtq0Dx8bKGqGdMbczTbDU7yeks9m-euuvLzqjdAfz-mRXoKNKDvONQ
6NFbQtinbLYbeIFC5h51_Czxc3uqTcH4pDDq1UL2vCXy5IQ,xMR2FyDCt_nL9sPdFpoQCElHOx9iW1Cu9oZz6O6LiaNRwd7LkZCaVKLPLSXprd8UVLhXLY8efDq1eA
qpQx0xvz6fnuR-0iIHno_UYKaZuQOBF9WzC52ns5abViq_E,P_pls-zkwev20KCLUBWoHWVskXZyCrGjOyBdUOmB9BTbmIhciPDr5V8NZTqpSXyYxLYvFkJrtALHGw
mLa6UTz56uONwiDvsBE7SHnCrK0A6aPbAn9OAOPlXH3vUz6DiJB6Y6fnLw,DmYZBnaMklkcwrVXEVbXWH-dxiQBbUAGAiTt4vit9MmDwxPW59dF1GuCLND0fd8nRgHGqFERgZD9-g
WgLB16A3XtjAyHGQboPyqSymWeZgMU4f8KaNXzZfVB8WeVw,Ikkm6WIS8YgMHbfgqVyD_kclccAlyfu4wLWjChhYibVPBoiTzivCuP_OT8fzQSVryqhJvm94ha-pmA
cgh_ReQ5QPIQFzqW2Wa7fDhAc5tJneEyDmuC3_hCbFZ5Rl8,foZr1BLpIXfqoNI3KSwfzY8_ZmnQbpsh_iTtL9JvMxuTj1Nbmu3EukssJzNCdtfOtAqeAvOLCINuWg
V2w7nyaeXd8JvDWcvW4fIthQKtePzOJ4DvPvH7CVtuLRR9k,pWBULLiaJVU4rwatuyk8oKRQnPwjoZXPDlPc0LUmexEcsKBb5DCkU_Z6tVEuEhG0SJIxHo2VGDGWHQ
u5U7UNUMgpRRht6lJGPDQV-whqPMurLQjKZUXfFQOgpRYhs,ZszPOPWvydzIcJQrA8CF2tQYbE1AG2jcEC3o9ie4rQk8OwIo-dYLE6dO2e5wV9jqWPY59phjftctqA
_fOZ14c_6WcPS0tItWF-8NvB86AtYfiKHJ9aQLmHWI3r1o8,Yc-QerbfE4fl6fm1R9keUDwtuwLTa_zjWluRYVO6Ok0fA5OEi1EMxObDWsT_VphnvOQGEJiXi2DBIQ
VGQ3J0NT5miC_cdqolvyaismaxFYUpXTLvN4sCEecd0QCt6xKdQwO_qGFg,Qx6dI0Q3CWQsuGSjg4sFrH1j8_QBXPXTv1ldOI9RHrw1rI8ur4bNRKHuwESQxKjEi9ixX6rF01jZUA
CEM0XErVD9yK4jO4JPLFmAVaVUAGHG9g7D1l5bA5INv170Y,n1E9IyuVJDcNAnbZAIItl5Ky14Hgu39Jfj8GLyWDP2v0VX5_eghdfKOXUup2sejwKKmzyCLiAH6QFQ
aG6U92Z0Xe-sPjFn2-yjb_CqXwglzSOfTZAb6AnCLbziC0yVMbdoXh-W8Q,pN9fhWZD6dlmPUszo-wSk6FBIrRXDegz6yOTR00prQ_tZmzKIYDysCQl6h9RUp0KYQeVjvP2ASjQZg
ihjCyPie-i73C2_gH_UrIsddhE5sUF9e4vzNmQ3B6iBqjd1t,JjTAC1wu81uGwwwPb_fCPrVLmUJ2ViSxV5LLT31B3ktinmHwpa2KXZN5IxhoZp5A1G6VKQ2inkxOCw
k92onemP2jq9oRscWon9L44qDUePc0l0ISEBie0ROInwf98,tFz4Ndy5snp3VJrvMnTFDzdA99kYLQWrBAlnRZg5z7zOMqEOk17IM5H8sxojanaS_n0-hD9ltKhO1Q
_tnQJuTkLT1tkFjXrnhYOeMyvT6P3Fem_Ug1XTYGNsyLmA4,NPXNSLfiwolz9f3LgXc3z8ROX9ymivvJsmrMgQuIKD-LAS8tq2aaHDP4NxVRf1Uwm9hmcQVOMzvc5w
6P5527Ceu3bqMo_ZaaHwQsjt6f5Em6U5NhIQPE2uMEAbPQs,-ls7dPn3PaGACjJZ1SlHaw8Pt2OcrmrnHfLVI-xS9rVmAw2LP3e1ckZaYqLYLKi2Wd0X24JmnTiGNA
9O_a-mUy_Ymo4TzCrz72LE1rQVWBaufj3sP747onPnCd3E0,ZWJoE4ikrZ4Vk_drQIDsnFzFudksHT5aVpbIlUsaTGfpb4_de43r39vuYrcEl8O6H_jV1RoJnwSoog
B6gVLqYW4NbHrnjiTyEk1HPkYNgW9Rt49Tt5NhR-0Zdo-CU,ALYcAf8XvdwOCnjsEiTbr--CqJSXAX7Ph5ae9waAeiWeM_oNwDq_-GnOh6ioZSmwX1DToyfOYqCHGA
yeG1NZK7v6XynhLpAwTOQubQHsEejuUWxFWIIGOzCZPNgdY,LuS-UnWQTkD6UVRRlIMAfKmVOqaNyRVdhNNs7_sgFEKe_Gl84Xeug8gWYa-lqzPOtu8xTgXb7MZjfw
jZIVhfd0i4URyaBqTPfe_IX4KAZQEb9S75nGuZLR6FDWUEM,Q7WICYVBlqv4QvrafzBi0Y5n01ZYHMovnxo0o_dRn4KYAGOqvkIU5xZS54KJ3zI8VfdG43wbCDv8Ow
_ey3AMu5yAHNWORiqz7Ol9gq8pjMkrBmsTnXQi0sdhoEYxjE-epn9tvaZQ,oYNxvyGl04S-lI5Md4jZmUqrNbdm8D3kCkVcnmDjlbTrwT04N4ic2hnD4IxkP53lhNoc9e5Nuctk-A
GOiYYWoxv_jECSGpCA4a6IL9duVH_lAzjbuQLRBl0yfFAC0,oxYxfir2HRuqVmB34HYJ0CKL58XGfsZKsDLPIq2yKTFmNPaoKud_-wPsemdAw3y7paVhebIMQBH9fg
vbMa_q5EmTP7gnCiKW1CwSdgCWmixoW2TrGU1m6_8PM_Lbb4-adhhKOAEA,JwOESWHuFcT8zgQGFCcBvrPV9I6-u5V86HvQ8bBw7-lN_E6I_0dRUXyb3HYrl9fzhE-DX4DZeHx8oA
tUoaj6KaHnhRyXlN8mpqb7glwjgRykMrGmzPxNFm1JJTvOk,BrCuwSTxgz2UCPNnxbqX43wc_ZcZ6-EpCzyYajlfjWkZ5pGtmOD9fjaD3yGWWEIHu9j5fcTr2Iti9A
