,summonerId
64,2PEeD0rGe20_aiQyVDmhZQCU7at3DvThEBGupoXRjo2ENM4
65,WD4azFmHXq-xZdH2gAX_rFss5n-YkUeCC9BgKf09vYM65ZeR_lvObAug7w
66,z0bcYkLuyAjs95iZfRZZ0I6VKrvelD73cHmdNjAJUo8_ro92
67,SL1o0rguDgckRxKi6STuUMJdDlkDMYI_gvtT-kxUAosEHQu2koICtXqjJg
68,hb5ZUm3oRGnhEr_bhRVYvu9eqPHueFieQBHemFpeMKee5Myb0LNs0xEJNQ
69,mFEFTX2VVGKhiCpev-UiqmLe-eTyy26DDePg4V5Qfc8TdtQGKlQhUz6Ewg
70,6kvwx0ysOj00TwXvlsSu-hGcBORZoh1RSBfAHcB1CZ5YWL8
71,6LKooZNhM5SIdyNWRyehpHGl-Si4KGOkZlbJlWZ_vAm8Ahs
72,4eK3G29RBBjRydufX1HP6kGLG4LKR9b7N-NfgKILvtH1whDosN45D3uDKA
73,c_UDyjQE9urxTcSGQ70FGXFCE6JZhmon3s7l-upcxG2j4eM
74,nwgvft_AqJUW_MNmmdiXKwVaV7Y5MwdJtniAg01e_Yhi4PQ
75,c-IbR07AmSrcBLXhlEnloevvB6n-wR9tPmpW_CoH2J5lej8
76,iqvxY1apMFWBMyh1vketZai-1LqaR3ogoTRZwWCsBBtmrc4
77,Xwm-95SdgbqS8roC-rGArxIqTOk6cyoVIAuUS2BAq4T82M6D
78,xRfWD8ESFjyjRdQ9p9mhGqgYKGhPKPK-v9PW6NnskaNCyJ6lwwDob4xGog
79,QnldP8b7Rj5-aFIXj8sfIOK2553fef9uFyhRZQO6A1en_1ZNqUqUKhsVfg
80,N9UNl-ER1saQGMo_EfurUvd-hElvZuh4h3a7j7K6p-dGoOw
81,bMfLvw9i_mI5pgRI-9sCUzmm0UXlIQlYo5-YTWNOryoo6RM
82,LH4VBSRgLMBNKlSZm3PsH3th6uGnHpIU5dRZCGvfF9SeBOM
83,DdERzTzYGF7fGgJzgyoffobqBGGt8s-SjLBNpKyGaN0ogG5fPx2tsOv7WA
84,KyVbakIp2eelY5z9zXp9cCdl2g0O_GDH4SaTYL3lKqkS-yQK
85,MEgkfssMFpAtWj5PV6TE88yMT-0uFe4suA6mCFIkqXoXtfw
86,BlAcMYVOxnMf8yW3hRlXHAZTLZblCSiDjs13z7c1igqEPoc
87,ae9pR5TtMNW-OYvJ-LUY7jQt7ddotpneDmOVUBO_IZKE8w7ugWP016Q3rg
88,0MnexHdT6KO8Nq66beoifK2iqvmITI3Hg9dixSQfiamLKy_J
89,IY595oQ_uWNGqc4ihYBT71KSrXd1-92jZZFZG4Lth_d1cW8
90,JbW_XOeJwGDMlHu-M2F9iluQsYvGA30LpxOf69LqQgrXWvbloQGvy_DjtQ
91,7VKYqPhu_jV83x1MgiEYP5mSOEnwEpn7axZVRypvvIs5wYwozS-GhiWVXA
92,9bhnLllouEnrC6uNK7Be8R5dnAB0h9tWxW7zLuVaARFg8IjM5olkUmnLCQ
93,AAqL5tOS1Fd_3VV0h4pVbfGNdE6GfXTeHcbDmzxbOddXB7o
94,DTbW3EacOCsMO-krmMg5KnJluFGvzl3vPT1k_VjzPSn568c
95,ltaAWyVahrXNtsuuU4fmXQbgiEJQnoryD_n9S-ZOQOKiHBc
96,mBuqD1buyu7esJ8BACJjQyqO4_h8GhTOPH1F_MhyqM-Zmpc
97,N2Gu33DsrFL3trx5m3coPLWWsz8To80Ik1_sqYI4fwezlZsR
98,g7EvXu9RBOC6CoCubdzSqCRHRSSKWM7xiFkfYoCFhW3dRp0
99,K7oxviqDjwhAvVjkY6UfIdHGGdoIFs4N1rLlsqGnIcp2SZ4
100,_alh0tTnNKW2S3RjTo4cw7PWVdp88htBhtCP6aP_E_ZhoXA
101,20oN7QNp-6Gddf9XE4TeetSHQKQpiBp2H1SufkA7h3wV67iA
102,MZCtRSVVnhS0UHJPBwy4AZDe7ff-vxTrN_BBfgvZsVKSxEDhmRSNfT5bSw
103,N7a1gcK35Sd6QmM_Bv1aLO-VGCfnf_ZuGyWt1NwcSU1BKnw
104,x6042bocnQdxpT-KK-WdISf3UvuMQZfPv1wzndJ9LVXC2BJa
105,xSpl3yXkqXZhcy04wwpPx2oLPDtlKlyugpqUBxpUxUEd5BZl_snfBLHwoQ
106,ZU4HS9Y4f6xNRu12IwshXbMSJ-nnDaZ3k7jx0edrhh0FGIDHVV3_u196yw
107,1e_85VhTOgrXhdadw0mvNgnrsgDWtp6D7SbX1YeEKMriHVflsxCdS_Pb3A
108,tXWWLr-hXntxugrwP-yQmPYIP-lBRrcWpIDcCZuC249bjfUY
109,-s5DeA-mzOWdaQWxK_HYcTi6kffjaP1SKVAM4DFrAlfaqCUO6R6JNQ7MRw
110,yn9V0pbrk61T9-aIcgaICKJJr_XQ5MAY6vrjBiIg8KlKtcTY
111,JfXP-kdrj5dIMzU3DhSrA0z7PLan9wYouvhsNzTLtAuqZvg
112,6eDN-pHI-foIcSzhyexQVIksqBKQ_RtwILNT_FrxMA-IZGM
113,M1rkScyAZAuHfPLnB8h5ZhE8jQePSYosTSBGkX-AjBQsJf8
