summonerId,puuid
fn6Y0DRCppV162X_YlXahSAEWraMaMzaxbyqTC1jo6_Ipnj9,wkW677Oo1XeQJvUfPrCa7AYkduGf5OKpINTx6vJL7naWiJilAq2ANiT3YGUY-kQbP-iRa_OUYhgXYQ
rlSqB7CTMRWf-4KoBq5k_mvDHZeqf72S3Hhv2ovcAAvffNE,2-QREgGresaNcbEFuQq91Xupd3keRMHkO0PjOg0UVmdl7S5dr6MyHDEzrn7WxkHuwxqdAPfAv9Hz9Q
8bIbMYPfTnjjP6zlyZucUW1DZTJ3gn2pqaUgaGR8V_t8UN4,vrM0oypRb9r4H7PzazHvVgRj3gOBwY_3KMAU75xUWo5yXq5GhHiUoG9btFvcdR-URKjqeQeG7eOvIg
lLUcyUBBLKDeiUQHwPmF28ZpkiKBIoNfn1eeD0u1-NBxvS0,gd0N7rqgwbH0YTE3zcQIASZKnE7GCdBmQNArx-DRuDX4atm1X9DOnwAixHLn_5KQMt06TcjnI7LsRA
Fa4DTNR2c679L8JNBW4DYL8yln8vl8osia_Rwdi503-DH2k,Wxz9FGcZeN5F5Xql-qz4yVBLVyU1fU2tJ2iBP1SI8OH-N_aagaiysHeqFs1HpLYUAz87-Ad3iPxetA
Tj3vECAx-sGyD1GYotKdo5_RY9PGCrRWOVombm1TagdoKq8,RAD0Ia2LBlgMrFAAZLUd_oMnAylNFX3Rw0mmyDu9vjejutb4MfRBGCJlcnYvuOiGgigbNFXdnQywgQ
GQOGJxpqpH-1D0PuvQ81MEjqspj7feZtMl0VfePGfeWk8tUg,U0Qs66p5F18BrucejLhvkxUrCasr3yapppaOrTwmGxnhj13TFUfmqMezhlnIOG05YUAhRuy9064A-Q
yg5pIqnJiKHl7KgYoH-RYWVCNgve2f8k2Bw_I78qb73MemA,qE5vQh2uqvAJBmc7ugTkr0ft4nIGl5Q0k-nIn33po29fDAAHBfBzQpM2lYfsVTDP3C5dN3brxUgCBg
cgMZpH0E5iiEOU1LbXAOK06lYX3zLsp0NG7bscXEAti0tvc,w69codlkZe3p5KbLpsKnnb_qKDIpKHIGsNbiB31zkPWR7AVN1Tfm6ax7mJTCTWBZ1Hnx-ugi78hfmg
m1hgLP80o0uNBq6oY-C24VSDrLlarO4jpbFVrsP0hWDl_Xg,9Nc-6SMVt4rKFG5Eg42Phm4hyDn5CJR3GK6rXfBcrQO6bvMle8N3hbtYdcKpb9P0A8g0buXa1rkDXw
9e8GSZLWuFXkEp0N6VmmhNXSf_A3jqGCJ_lbC3VIlpzzqzE,4tVxDXyrC5kU9uiDPHYFDEZBEtWKtyHH_DbPJwwAZVSrGio7s2ih-w2VcpB8FaM3l4DuwQXT25Gjhw
SRGsBh26F403L4Q2rn6BJrRlxyiH3cV2sGaueEDnGIUoqnicKsARPbZP5g,G0_EGp8NtpjO-Ijm9-cggTNiraz6zcS3W73lkGgwEALcnuqSMwKyQMJTMPj8WJGJZtO9U4agXpAgLQ
LdThLvG6hHNBlV1Asu_RLU7YzA0yhnrwnwwXgupL5zgheRk,ZF_UtFHVrS8lunXgY24rRoiZ4PLVL1XCdTEjxPRJuA8hlab-_P6dEDUfqYXiwJAUlfIAI75fFx-XHQ
GfHRzX5dmG0fHKvGXkzuxc6XahfrBZ9Lq7lRLAESLM-Lvr0,W747ss5bXxLNgtvWjs4FaU6ZeIgY0xrQb9uvdMhqhnwsJbshyYE59ckJwOq1-FnDrCXR_HzZnuW8KA
