championId,championName,kills,deaths,assists,games_played,totalDamageDealtToChampions,totalDamageTaken,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,timeCCingOthers,totalHealsOnTeammates,totalDamageShieldedOnTeammates,damageSelfMitigated,champExperience,champLevel,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,bountyLevel,consumablesPurchased,itemsPurchased,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,objectives_baron_kills,objectives_champion_kills,objectives_dragon_kills,objectives_inhibitor_kills,objectives_riftHerald_kills,objectives_tower_kills,damageDealtToBuildings,damageDealtToTurrets,damageDealtToObjectives,first_baron_rate,first_dragon_rate,first_inhibitor_rate,first_herald_rate,first_tower_rate,timePlayed,longestTimeSpentLiving,gameEndedInEarlySurrender,gameEndedInSurrender,doubleKills,tripleKills,quadraKills,pentaKills,first_blood_rate,firstBloodAssist,first_tower_kill_rate,firstTowerAssist,turretKills,inhibitorKills,inhibitorTakedowns,inhibitorsLost,individualPosition,lane,kda,cs_per_minute,gold_per_minute,damage_per_minute
61,Orianna,5.13,5.03,8.01,252,21841.58,18261.99,20383.34,1250.95,206.62,0.0,22.7,14.88,1973.59,12394.65,14308.86,14.88,10949.65,10059.92,191.68,3.13,5.13,3.66,20.58,16.5,8.36,1.97,1.25,1.09,0.27,26.37,1.81,0.83,0.43,5.48,3181.58,3181.58,6900.83,0.24,0.5,0.42,0.43,0.48,1638.68,622.19,0.02,0.27,0.45,0.05,0.0,0.0,0.06,0.06,0.03,0.01,0.95,0.12,0.46,0.93,MIDDLE,MIDDLE,2.61,7.13,400.92,799.73
62,MonkeyKing,6.22,4.97,7.34,392,18403.72,33823.83,2325.77,15076.19,1000.83,163.26,14.98,0.0,0.0,30903.38,14109.11,14.76,11480.17,10599.54,65.24,111.93,6.22,2.67,21.38,22.07,5.71,3.57,1.71,1.56,0.34,27.8,1.96,0.88,0.44,5.76,3299.91,3299.91,26407.52,0.27,0.48,0.43,0.44,0.49,1685.99,602.72,0.01,0.28,0.53,0.05,0.0,0.0,0.13,0.09,0.09,0.03,1.18,0.24,0.5,0.85,JUNGLE,JUNGLE,2.73,6.31,408.55,654.94
63,Brand,4.38,6.8,8.4,173,23464.04,22855.06,21766.6,931.82,764.84,0.0,28.32,31.39,0.0,10497.76,12376.99,13.64,9859.43,9088.09,110.36,16.44,4.38,3.73,19.5,33.43,15.17,3.23,1.49,1.42,0.38,27.53,1.82,0.81,0.39,5.44,1865.73,1865.73,9073.74,0.28,0.42,0.4,0.39,0.53,1694.73,515.38,0.01,0.28,0.29,0.03,0.0,0.0,0.06,0.09,0.03,0.07,0.57,0.09,0.36,0.88,UTILITY,BOTTOM,1.88,4.49,349.06,830.72
64,LeeSin,6.98,5.51,8.05,573,17414.96,34108.28,2601.03,13847.22,965.75,188.07,19.91,0.0,909.09,36379.71,13309.27,14.35,11202.53,10218.26,27.38,135.75,6.98,5.1,20.95,24.88,12.0,2.04,4.25,3.49,0.31,27.13,1.85,0.8,0.41,5.35,1359.62,1359.62,27912.22,0.26,0.52,0.38,0.41,0.54,1638.87,541.77,0.01,0.3,0.61,0.05,0.01,0.0,0.16,0.08,0.04,0.06,0.61,0.1,0.4,0.87,JUNGLE,JUNGLE,2.73,5.97,410.13,637.57
67,Vayne,7.04,6.01,5.2,572,22519.96,22222.67,1081.54,16267.85,5169.65,59.91,9.8,0.24,0.0,14080.91,13234.36,14.22,11724.86,10746.72,180.76,6.51,7.04,2.09,20.41,15.42,7.87,2.44,0.59,0.51,0.41,27.4,1.88,0.82,0.43,5.47,4709.67,4709.67,14718.42,0.33,0.49,0.39,0.43,0.42,1677.59,559.74,0.02,0.27,1.08,0.19,0.03,0.0,0.14,0.09,0.08,0.02,1.5,0.24,0.49,0.87,BOTTOM,BOTTOM,2.04,6.7,419.35,805.44
68,Rumble,5.42,5.43,6.13,216,22999.86,24965.35,21072.87,1099.33,826.77,0.13,14.31,3.15,0.0,22790.57,13925.59,14.75,10719.0,9969.17,151.55,27.94,5.42,3.72,20.17,17.94,8.47,1.37,1.44,1.27,0.31,26.26,1.75,0.64,0.43,4.75,2275.56,2275.56,10293.81,0.25,0.46,0.32,0.43,0.49,1634.39,573.56,0.0,0.4,0.41,0.06,0.0,0.0,0.09,0.08,0.06,0.02,0.83,0.17,0.38,0.83,TOP,TOP,2.13,6.59,393.5,844.35
69,Cassiopeia,5.66,5.69,5.03,209,21898.83,25064.42,21239.41,470.4,188.39,0.03,31.2,5.05,1.34,14827.61,14746.22,15.11,11002.99,10205.57,192.82,5.69,5.66,3.61,21.54,16.31,8.54,1.45,1.14,0.98,0.25,25.33,1.73,0.77,0.41,5.07,2753.73,2753.73,7935.27,0.21,0.47,0.35,0.41,0.45,1630.03,545.33,0.01,0.29,0.52,0.07,0.0,0.0,0.11,0.04,0.05,0.03,0.91,0.13,0.37,0.92,MIDDLE,MIDDLE,1.88,7.31,405.01,806.08
72,Skarner,4.56,4.67,9.86,181,16810.96,39413.57,5484.08,10610.45,715.71,3.08,38.5,2.87,3.81,56557.89,12803.75,13.98,9948.43,9059.78,28.8,121.77,4.56,2.24,17.94,18.24,4.57,2.65,1.41,1.22,0.27,26.29,1.67,0.67,0.4,4.86,1080.13,1080.13,22642.25,0.23,0.44,0.36,0.4,0.46,1628.82,596.56,0.02,0.33,0.23,0.01,0.0,0.0,0.06,0.12,0.02,0.04,0.43,0.1,0.37,0.88,JUNGLE,JUNGLE,3.09,5.55,366.47,619.26
74,Heimerdinger,4.95,6.02,6.28,123,28216.65,20323.49,26607.82,1141.95,466.15,0.0,24.07,5.87,0.0,9176.81,14711.82,15.11,11414.52,10552.52,178.24,3.46,4.95,3.79,20.19,23.77,11.6,2.28,1.59,1.47,0.5,27.29,2.12,0.9,0.53,5.87,3919.93,3919.93,12977.89,0.35,0.52,0.37,0.53,0.51,1756.33,577.7,0.0,0.24,0.5,0.02,0.0,0.0,0.1,0.05,0.15,0.04,1.34,0.24,0.49,0.88,TOP,BOTTOM,1.87,6.21,389.94,963.94
75,Nasus,3.72,4.96,4.97,245,17597.52,35619.62,4966.62,12331.84,298.41,86.82,17.92,2.26,0.0,35430.54,14333.86,14.8,10538.1,9622.36,167.91,13.13,3.72,2.11,18.62,14.49,7.75,1.08,0.4,0.31,0.31,24.77,1.75,0.72,0.4,5.1,5810.35,5810.35,10471.93,0.26,0.52,0.35,0.4,0.39,1614.53,577.85,0.03,0.28,0.26,0.04,0.0,0.0,0.01,0.07,0.07,0.02,1.73,0.24,0.39,0.87,TOP,TOP,1.75,6.73,391.62,653.97
76,Nidalee,6.1,5.0,9.09,124,17766.52,32036.37,14599.07,1425.91,1740.69,0.0,6.52,4901.39,143.12,18351.28,12972.77,14.02,10864.91,9907.71,31.84,118.33,6.1,2.93,18.32,27.54,7.31,4.73,1.76,1.56,0.29,27.47,1.79,0.88,0.34,5.64,1800.56,1800.56,22804.14,0.22,0.44,0.44,0.34,0.52,1621.98,564.25,0.02,0.31,0.59,0.04,0.0,0.0,0.1,0.12,0.04,0.06,0.69,0.15,0.6,0.85,JUNGLE,JUNGLE,3.04,5.56,401.91,657.22
77,Udyr,5.14,4.8,7.29,250,18072.27,33157.76,11094.53,6205.21,771.56,13.3,29.99,0.57,2.18,43317.79,14184.46,14.78,11068.61,10115.7,50.03,138.98,5.14,1.78,18.11,18.95,4.79,2.95,1.14,0.98,0.28,25.2,1.92,0.8,0.4,5.34,2250.83,2250.83,31040.78,0.24,0.51,0.4,0.4,0.49,1616.72,563.28,0.01,0.31,0.43,0.05,0.0,0.0,0.07,0.05,0.03,0.04,0.83,0.19,0.43,0.73,JUNGLE,JUNGLE,2.59,7.01,410.78,670.7
78,Poppy,3.83,6.07,9.37,277,16422.57,26631.64,2313.05,13007.83,1100.9,44.78,37.2,39.32,161.14,33903.87,11946.94,13.48,9300.62,8547.84,74.51,19.09,3.83,5.29,21.87,46.23,20.82,4.65,3.43,3.02,0.38,28.21,1.88,0.87,0.45,5.65,2052.52,2052.52,7785.48,0.29,0.42,0.43,0.45,0.47,1685.19,508.66,0.02,0.28,0.13,0.0,0.0,0.0,0.1,0.12,0.04,0.05,0.69,0.07,0.4,0.79,UTILITY,BOTTOM,2.17,3.33,331.14,584.71
79,Gragas,5.28,5.21,7.17,356,21504.23,30436.49,18929.93,1710.43,863.09,0.03,42.35,6.05,7.22,24733.94,14681.46,15.01,11034.73,10197.63,141.11,32.54,5.28,3.06,20.24,20.41,8.68,2.04,1.13,1.0,0.35,28.81,1.92,1.0,0.46,5.93,3702.76,3702.76,11716.69,0.29,0.46,0.44,0.46,0.49,1702.41,624.63,0.02,0.24,0.32,0.03,0.0,0.0,0.07,0.1,0.11,0.03,1.24,0.16,0.45,0.91,TOP,TOP,2.39,6.12,388.91,757.9
80,Pantheon,6.72,6.07,7.96,791,20425.72,31097.02,811.92,18412.89,1199.99,169.26,24.5,0.12,1.0,23132.13,13004.7,14.15,10779.88,9926.25,69.31,64.79,6.72,3.37,21.85,31.21,11.89,3.7,1.98,1.75,0.37,29.0,1.96,0.87,0.47,5.62,1784.42,1784.42,15804.74,0.29,0.51,0.42,0.47,0.54,1678.92,538.07,0.01,0.29,0.52,0.05,0.0,0.0,0.15,0.12,0.04,0.05,0.69,0.1,0.38,0.82,JUNGLE,JUNGLE,2.42,4.79,385.24,729.96
81,Ezreal,6.27,5.0,6.81,1139,26130.79,21614.24,7806.15,17728.98,594.81,11.9,3.14,3.11,0.0,11997.58,13135.06,14.23,11637.01,10669.01,195.54,4.33,6.27,1.99,20.09,13.89,7.71,2.09,0.59,0.52,0.37,27.21,1.9,0.89,0.45,5.62,4923.31,4923.31,13503.66,0.3,0.48,0.41,0.45,0.53,1680.49,598.93,0.02,0.31,0.71,0.08,0.01,0.0,0.16,0.09,0.13,0.06,1.53,0.24,0.51,0.84,BOTTOM,BOTTOM,2.62,7.14,415.49,932.97
