championId,championName,kills,deaths,assists,games_played,totalDamageDealtToChampions,totalDamageTaken,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,largestCriticalStrike,timeCCingOthers,totalHealsOnTeammates,totalDamageShieldedOnTeammates,damageSelfMitigated,champExperience,champLevel,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,bountyLevel,consumablesPurchased,itemsPurchased,visionScore,wardsPlaced,wardsKilled,visionWardsBoughtInGame,detectorWardsPlaced,objectives_baron_kills,objectives_champion_kills,objectives_dragon_kills,objectives_inhibitor_kills,objectives_riftHerald_kills,objectives_tower_kills,damageDealtToBuildings,damageDealtToTurrets,damageDealtToObjectives,first_baron_rate,first_dragon_rate,first_inhibitor_rate,first_herald_rate,first_tower_rate,timePlayed,longestTimeSpentLiving,gameEndedInEarlySurrender,gameEndedInSurrender,doubleKills,tripleKills,quadraKills,pentaKills,first_blood_rate,firstBloodAssist,first_tower_kill_rate,firstTowerAssist,turretKills,inhibitorKills,inhibitorTakedowns,inhibitorsLost,individualPosition,lane,kda,cs_per_minute,gold_per_minute,damage_per_minute
104,Graves,7.9,5.72,6.5,517,21852.81,27470.43,822.56,18722.64,2306.64,629.33,19.6,0.0,0.0,19360.4,14953.62,15.1,12892.96,11886.45,42.85,162.47,7.9,2.63,21.06,23.65,4.34,4.01,1.86,1.68,0.34,27.19,1.85,0.91,0.43,5.59,2239.79,2239.79,34191.91,0.28,0.47,0.41,0.43,0.46,1680.18,580.61,0.01,0.29,0.91,0.13,0.02,0.01,0.1,0.11,0.03,0.05,0.83,0.14,0.44,0.9,JUNGLE,JUNGLE,2.52,7.33,460.41,780.37
105,Fizz,7.94,5.5,5.61,179,21368.25,21384.85,16662.75,2683.54,2020.93,0.0,13.36,0.0,0.0,11820.85,14220.21,14.92,12026.85,11253.6,174.98,1.89,7.94,3.39,20.51,16.71,5.6,2.55,0.77,0.68,0.34,29.16,2.02,0.84,0.41,5.72,4748.16,4748.16,7049.12,0.28,0.56,0.42,0.41,0.47,1669.82,550.65,0.0,0.33,0.58,0.04,0.0,0.0,0.13,0.04,0.14,0.02,1.49,0.18,0.39,0.87,MIDDLE,MIDDLE,2.46,6.36,432.15,767.8
106,Volibear,5.16,5.73,6.1,409,19251.32,35168.9,8852.34,9731.19,666.86,143.45,28.87,0.0,0.0,43544.08,14173.26,14.71,10872.22,10028.84,107.53,69.76,5.16,2.23,19.8,17.25,6.11,2.19,0.84,0.74,0.28,25.85,1.69,0.82,0.42,5.4,3923.12,3923.12,19494.14,0.22,0.45,0.38,0.42,0.52,1619.56,507.92,0.02,0.3,0.36,0.05,0.01,0.0,0.11,0.08,0.11,0.03,1.31,0.15,0.42,0.88,TOP,JUNGLE,1.97,6.57,402.78,713.21
107,Rengar,7.76,5.71,6.07,288,19480.12,33727.71,1152.19,17092.67,1234.27,885.12,15.03,18.74,4.4,20007.52,14307.39,14.74,11917.58,10959.83,43.85,143.17,7.76,1.83,20.11,20.77,5.4,3.49,0.86,0.76,0.3,27.56,1.7,0.87,0.35,5.69,3557.54,3557.54,27159.55,0.24,0.45,0.39,0.35,0.51,1629.4,554.42,0.01,0.31,0.65,0.09,0.02,0.0,0.14,0.07,0.07,0.04,1.27,0.24,0.38,0.85,JUNGLE,JUNGLE,2.42,6.89,438.85,717.32
110,Varus,6.96,5.82,6.53,441,22984.03,19692.26,7003.32,15604.18,375.78,30.77,26.57,1.66,5.91,11981.44,13197.97,14.34,11758.14,10787.35,191.74,5.29,6.96,2.03,20.39,15.45,8.24,2.54,0.65,0.57,0.33,28.34,1.95,0.94,0.46,5.69,4520.09,4520.09,13180.69,0.28,0.51,0.42,0.46,0.51,1680.46,551.75,0.0,0.27,0.91,0.12,0.02,0.0,0.13,0.07,0.13,0.05,1.48,0.22,0.54,0.83,BOTTOM,BOTTOM,2.32,7.03,419.82,820.63
111,Nautilus,2.0,6.45,13.57,443,9700.05,22396.63,5998.28,2774.63,926.4,3.82,58.85,58.23,797.81,33535.53,10022.91,12.28,7765.58,7035.41,26.99,1.65,2.0,6.84,22.53,62.05,28.77,5.44,4.52,3.94,0.35,27.76,1.88,0.73,0.39,5.21,664.3,664.3,2580.13,0.29,0.5,0.38,0.39,0.45,1667.72,519.56,0.01,0.33,0.07,0.0,0.0,0.0,0.07,0.23,0.02,0.1,0.27,0.05,0.36,0.88,UTILITY,BOTTOM,2.41,1.03,279.38,348.98
112,Viktor,5.01,5.32,6.62,538,25088.57,18449.3,24094.2,687.46,306.23,0.0,24.21,9.25,0.0,15323.51,14664.22,15.1,11060.83,10199.21,197.06,2.37,5.01,3.59,20.31,16.17,8.93,1.68,1.25,1.12,0.35,26.83,1.9,0.85,0.43,5.59,3160.98,3160.98,7333.83,0.28,0.47,0.41,0.43,0.51,1667.29,573.02,0.01,0.32,0.39,0.03,0.01,0.0,0.07,0.06,0.05,0.04,0.99,0.15,0.42,0.78,MIDDLE,MIDDLE,2.19,7.18,398.04,902.85
113,Sejuani,4.02,4.55,10.58,104,16920.72,36422.01,6289.92,9692.89,937.11,10.57,31.05,184.88,19.73,42286.59,13203.04,14.32,10280.27,9569.18,66.62,93.73,4.02,2.82,19.83,20.47,5.95,2.85,1.78,1.54,0.29,28.02,1.81,0.88,0.45,5.42,2209.2,2209.2,20567.44,0.24,0.46,0.47,0.45,0.53,1636.16,619.53,0.02,0.36,0.23,0.02,0.0,0.0,0.03,0.1,0.07,0.04,0.76,0.1,0.44,0.76,JUNGLE,JUNGLE,3.21,5.88,376.99,620.5
114,Fiora,6.01,6.21,4.12,307,23214.91,33283.49,1187.35,14218.6,7807.94,587.08,11.14,1712.4,0.0,30607.15,15497.34,15.41,12336.92,11497.42,198.2,4.73,6.01,1.84,21.64,16.73,8.59,1.73,0.42,0.34,0.38,27.36,1.71,1.18,0.45,6.46,9759.43,9759.43,11942.13,0.3,0.42,0.46,0.45,0.49,1669.15,527.96,0.01,0.31,0.44,0.03,0.0,0.0,0.19,0.05,0.24,0.03,2.88,0.5,0.71,0.81,TOP,TOP,1.63,7.29,443.47,834.49
115,Ziggs,4.82,5.04,7.98,158,25679.57,17424.35,24392.4,993.43,293.02,0.0,16.41,0.68,0.0,8600.09,13810.96,14.68,11512.14,10590.22,199.51,2.5,4.82,3.28,20.22,15.82,8.79,1.66,0.87,0.74,0.3,27.24,1.84,0.85,0.42,5.77,6253.44,6253.44,10452.92,0.25,0.46,0.42,0.42,0.61,1696.68,593.27,0.01,0.26,0.27,0.01,0.0,0.0,0.1,0.08,0.34,0.01,2.73,0.2,0.52,0.79,BOTTOM,BOTTOM,2.54,7.14,407.11,908.11
117,Lulu,1.39,4.54,14.24,1087,7428.21,15545.17,6113.45,1032.87,281.24,0.26,30.99,1218.8,5992.68,8736.08,10349.21,12.53,7603.68,6795.65,26.05,0.41,1.39,6.51,21.68,59.15,27.32,5.53,4.18,3.68,0.32,26.21,1.82,0.81,0.46,5.48,956.9,956.9,3664.21,0.27,0.49,0.4,0.46,0.49,1643.64,626.07,0.01,0.3,0.06,0.0,0.0,0.0,0.06,0.15,0.02,0.14,0.36,0.08,0.54,0.85,UTILITY,BOTTOM,3.44,0.97,277.57,271.16
119,Draven,7.96,6.47,5.63,389,24100.49,21329.04,126.65,23475.87,497.39,955.22,9.7,14.86,0.06,15784.55,12772.68,14.0,13273.56,12292.15,193.26,8.61,7.96,1.95,19.82,13.85,7.39,2.21,0.42,0.36,0.34,27.52,1.96,0.86,0.47,5.56,5476.89,5476.89,16577.12,0.25,0.54,0.4,0.47,0.6,1657.44,508.74,0.0,0.3,0.99,0.13,0.01,0.0,0.2,0.1,0.23,0.07,1.73,0.22,0.52,0.83,BOTTOM,BOTTOM,2.1,7.31,480.51,872.45
120,Hecarim,6.85,5.05,8.11,447,19083.6,40869.17,2855.94,15436.17,790.71,14.4,20.22,0.0,0.0,36529.15,14556.4,14.92,11796.33,10790.18,29.37,168.84,6.85,1.37,19.74,16.84,3.57,2.17,0.92,0.8,0.28,26.94,1.79,0.78,0.43,5.4,1232.76,1232.76,31359.36,0.23,0.47,0.4,0.43,0.49,1612.53,546.65,0.01,0.33,0.77,0.11,0.02,0.0,0.09,0.08,0.01,0.03,0.51,0.13,0.39,0.81,JUNGLE,JUNGLE,2.96,7.38,438.93,710.07
121,Khazix,8.25,5.56,6.39,312,20899.59,35611.86,1146.06,18491.37,1261.12,52.47,9.59,0.0,0.0,21724.17,14655.43,15.02,12257.57,11222.91,22.92,162.49,8.25,2.41,21.06,23.54,4.73,3.41,1.79,1.66,0.38,28.04,2.08,0.76,0.4,5.3,1116.61,1116.61,32194.69,0.3,0.56,0.37,0.4,0.44,1708.36,587.64,0.01,0.27,0.88,0.1,0.01,0.0,0.12,0.06,0.02,0.02,0.54,0.08,0.33,0.93,JUNGLE,JUNGLE,2.63,6.51,430.5,734.02
122,Darius,6.37,5.89,3.93,517,19880.99,31700.8,68.97,15486.84,4324.59,40.37,21.11,0.49,0.0,28184.43,14623.41,14.97,11517.55,10699.42,167.04,24.0,6.37,1.94,20.79,16.99,7.61,1.8,0.63,0.56,0.35,27.61,1.79,0.84,0.46,5.62,4727.47,4727.47,13058.19,0.29,0.45,0.41,0.46,0.5,1658.9,536.38,0.02,0.27,0.72,0.14,0.02,0.01,0.13,0.07,0.13,0.03,1.58,0.13,0.39,0.82,TOP,TOP,1.75,6.91,416.57,719.07
126,Jayce,5.46,5.78,5.91,418,24038.86,24354.04,5096.81,18493.98,447.34,34.78,15.61,0.0,0.0,20052.71,14430.26,14.89,11395.06,10556.22,192.29,5.04,5.46,2.31,20.46,17.62,8.7,2.08,0.84,0.74,0.3,26.39,1.77,0.83,0.44,5.51,6065.44,6065.44,10019.42,0.25,0.49,0.4,0.44,0.53,1627.97,522.36,0.02,0.3,0.39,0.06,0.0,0.0,0.12,0.06,0.18,0.03,1.83,0.23,0.48,0.9,TOP,TOP,1.97,7.27,419.97,885.97
127,Lissandra,4.91,5.45,8.66,151,20131.33,22079.16,18118.85,1195.45,816.13,0.0,48.01,10.08,0.0,11379.17,13961.13,14.8,10683.42,9774.74,182.19,1.87,4.91,3.73,20.15,18.51,9.3,1.9,1.25,1.11,0.29,28.27,1.83,0.71,0.48,5.26,2706.31,2706.31,5111.85,0.24,0.52,0.34,0.48,0.52,1646.72,567.3,0.0,0.34,0.49,0.08,0.01,0.01,0.07,0.09,0.03,0.04,0.77,0.13,0.42,0.89,MIDDLE,MIDDLE,2.49,6.71,389.26,733.51
131,Diana,6.47,5.61,7.5,936,20798.07,29799.58,17132.32,2588.69,1076.07,0.29,10.52,0.64,0.0,39320.66,14626.41,15.02,11900.51,10942.37,53.08,144.23,6.47,2.68,19.51,20.96,4.8,3.23,1.78,1.57,0.37,26.92,1.98,0.92,0.52,5.81,3034.2,3034.2,33378.64,0.32,0.54,0.44,0.52,0.51,1637.92,564.55,0.01,0.31,0.59,0.08,0.01,0.0,0.1,0.07,0.08,0.05,1.1,0.21,0.45,0.76,JUNGLE,JUNGLE,2.49,7.23,435.94,761.87
133,Quinn,7.12,6.53,5.71,173,24379.16,22526.58,172.37,22254.14,1951.98,560.8,28.58,0.79,0.0,11615.2,14719.01,14.98,11590.51,10821.38,177.79,4.07,7.12,1.73,21.72,18.52,7.54,1.58,0.56,0.47,0.35,28.57,1.88,0.8,0.39,5.29,3592.99,3592.99,7717.08,0.25,0.5,0.39,0.39,0.45,1651.47,545.64,0.01,0.31,0.51,0.06,0.01,0.01,0.12,0.05,0.03,0.03,1.19,0.12,0.32,0.83,TOP,TOP,1.96,6.61,421.1,885.73
134,Syndra,5.95,5.1,6.02,565,22968.69,17882.18,20371.1,863.73,1732.86,0.0,36.82,7.99,0.0,8734.12,14587.64,15.01,11670.56,10820.64,197.6,1.91,5.95,3.49,20.05,17.95,9.5,1.87,1.1,0.99,0.35,26.69,1.88,0.87,0.45,5.56,3114.3,3114.3,6050.39,0.27,0.47,0.41,0.45,0.49,1667.41,596.79,0.02,0.29,0.39,0.04,0.0,0.0,0.04,0.08,0.05,0.01,0.99,0.14,0.47,0.81,MIDDLE,MIDDLE,2.35,7.18,419.95,826.5
136,AurelionSol,5.96,5.18,6.87,121,23263.47,20997.58,22499.11,266.84,496.72,0.0,21.74,4.87,0.0,9851.51,14175.79,14.82,11173.74,10231.49,187.87,3.9,5.96,3.26,20.4,15.59,9.02,1.47,0.78,0.68,0.4,26.15,1.57,0.7,0.42,4.85,1690.83,1690.83,8096.4,0.31,0.37,0.32,0.42,0.36,1660.24,601.79,0.02,0.27,0.75,0.17,0.04,0.0,0.04,0.03,0.02,0.01,0.58,0.1,0.26,1.07,MIDDLE,MIDDLE,2.48,6.93,403.81,840.73
141,Kayn,7.26,6.08,6.97,526,20806.71,38294.54,1056.92,18469.34,1279.68,40.31,16.58,0.0,0.0,28249.21,14435.33,14.84,11857.79,10969.88,41.79,142.0,7.26,2.03,20.42,19.22,4.55,2.6,1.28,1.12,0.32,28.2,1.77,0.8,0.38,5.55,1636.54,1636.54,25798.73,0.26,0.45,0.37,0.38,0.45,1691.11,528.44,0.01,0.26,0.64,0.06,0.01,0.0,0.1,0.13,0.03,0.01,0.69,0.1,0.37,0.93,JUNGLE,JUNGLE,2.34,6.52,420.71,738.21
142,Zoe,5.92,5.47,8.06,250,23386.94,18240.8,17796.29,1878.82,3710.84,43.6,37.19,132.9,57.69,8354.87,13022.85,14.08,10406.38,9533.86,138.24,1.19,5.92,4.07,20.18,29.98,13.67,3.2,1.65,1.46,0.36,28.21,1.92,0.92,0.49,5.65,2780.2,2780.2,5621.67,0.28,0.52,0.41,0.49,0.51,1671.57,587.32,0.01,0.32,0.35,0.04,0.01,0.0,0.12,0.12,0.04,0.06,0.85,0.18,0.44,0.82,MIDDLE,MIDDLE,2.56,5.0,373.53,839.46
143,Zyra,3.85,5.66,9.98,331,22300.64,20418.04,19945.2,1188.24,1166.31,0.0,38.66,46.46,0.0,9344.99,12971.3,14.1,10130.24,9177.75,65.29,67.29,3.85,4.19,19.82,41.09,15.54,5.1,2.62,2.34,0.37,27.56,1.99,0.92,0.44,5.66,1471.59,1471.59,15457.78,0.28,0.48,0.4,0.44,0.49,1711.06,579.23,0.01,0.27,0.24,0.01,0.0,0.0,0.08,0.12,0.02,0.1,0.5,0.12,0.46,0.89,UTILITY,BOTTOM,2.44,4.65,355.23,781.99
145,Kaisa,7.31,5.67,6.05,815,22060.16,19500.75,9301.67,12353.35,404.3,112.8,1.96,5.75,0.0,12266.15,12941.58,14.09,11975.2,11042.89,195.01,6.75,7.31,2.05,20.59,14.56,7.56,2.44,0.55,0.47,0.37,26.95,1.82,0.8,0.44,5.42,4157.53,4157.53,13930.0,0.31,0.48,0.4,0.44,0.42,1640.25,546.08,0.02,0.27,0.97,0.14,0.02,0.01,0.15,0.09,0.1,0.03,1.35,0.21,0.47,0.85,BOTTOM,BOTTOM,2.36,7.38,438.05,806.96
147,Seraphine,2.76,5.0,11.79,272,13277.28,16937.62,11520.61,1436.08,319.89,0.0,31.99,3320.53,3069.61,10321.15,11782.4,13.38,8890.64,8036.14,92.85,0.83,2.76,4.95,21.17,43.5,20.22,4.31,2.61,2.25,0.34,26.54,1.81,0.79,0.42,5.34,1738.57,1738.57,4375.71,0.27,0.48,0.41,0.42,0.45,1678.25,584.84,0.01,0.24,0.2,0.01,0.0,0.0,0.06,0.15,0.01,0.1,0.57,0.09,0.47,1.01,UTILITY,BOTTOM,2.91,3.35,317.85,474.68
150,Gnar,4.21,5.37,5.16,190,22463.72,27519.2,4166.79,17982.18,314.05,4.02,32.28,3.95,0.0,22582.46,14811.74,15.2,10941.75,10065.56,186.01,4.14,4.21,2.25,20.28,16.79,8.79,1.47,0.72,0.61,0.34,26.65,1.85,0.77,0.37,5.24,5541.25,5541.25,9835.67,0.29,0.49,0.34,0.37,0.42,1652.55,568.38,0.0,0.37,0.24,0.01,0.0,0.0,0.07,0.08,0.12,0.04,1.66,0.19,0.44,0.83,TOP,TOP,1.74,6.9,397.27,815.6
154,Zac,4.53,4.52,9.97,308,17814.09,40590.59,15464.75,1240.96,1107.37,3.94,39.86,131.79,10.41,39780.44,13347.56,14.27,10380.31,9361.98,63.23,91.24,4.53,2.42,17.79,20.73,6.3,2.79,1.66,1.47,0.38,27.93,1.93,0.84,0.43,5.71,1834.17,1834.17,20633.97,0.34,0.54,0.44,0.43,0.5,1631.78,604.75,0.02,0.31,0.32,0.02,0.0,0.0,0.05,0.1,0.03,0.04,0.62,0.12,0.42,0.74,JUNGLE,JUNGLE,3.21,5.68,381.68,655.02
157,Yasuo,5.35,6.1,5.44,510,19601.0,25266.71,1961.95,16965.64,672.59,539.18,22.83,0.05,0.0,26237.51,14248.04,14.89,11313.48,10436.81,194.87,7.81,5.35,2.14,19.51,15.42,8.15,1.57,0.75,0.66,0.32,26.02,1.89,0.9,0.48,5.64,4529.84,4529.84,11639.45,0.28,0.52,0.41,0.48,0.54,1626.39,522.88,0.01,0.32,0.51,0.09,0.01,0.0,0.14,0.06,0.09,0.02,1.49,0.2,0.46,0.79,MIDDLE,MIDDLE,1.77,7.48,417.37,723.11
161,Velkoz,5.04,6.34,9.43,207,23919.33,18961.48,17362.74,612.03,5943.57,0.0,26.55,293.23,14.85,8030.14,12481.58,13.93,9865.05,8992.85,94.48,1.28,5.04,5.05,21.58,48.76,21.98,4.47,2.71,2.42,0.37,29.14,1.93,0.87,0.45,5.82,1908.05,1908.05,5717.36,0.3,0.5,0.42,0.45,0.58,1740.19,569.05,0.01,0.2,0.38,0.02,0.0,0.0,0.06,0.16,0.06,0.08,0.65,0.16,0.48,0.97,UTILITY,BOTTOM,2.28,3.3,340.14,824.71
163,Taliyah,5.93,5.47,8.54,310,23392.68,20203.68,21623.56,967.62,800.72,0.0,32.0,9.55,0.0,10476.71,14345.4,14.85,11442.57,10538.26,146.14,45.05,5.93,3.52,20.69,19.94,8.6,2.2,1.51,1.36,0.28,27.94,1.79,0.73,0.47,5.38,2341.9,2341.9,12635.45,0.23,0.45,0.38,0.47,0.47,1648.62,566.15,0.02,0.34,0.49,0.06,0.0,0.0,0.06,0.1,0.04,0.04,0.8,0.1,0.36,0.82,MIDDLE,MIDDLE,2.65,6.96,416.44,851.35
164,Camille,5.62,5.81,5.26,322,21527.88,29160.63,1210.32,13317.06,6999.49,16.14,19.67,0.25,0.0,27567.03,14253.98,14.87,10919.93,10122.45,170.04,4.02,5.62,2.1,20.36,16.6,8.57,1.39,0.65,0.56,0.32,26.63,1.65,0.77,0.38,5.27,5611.93,5611.93,9216.03,0.28,0.43,0.37,0.38,0.4,1624.81,544.65,0.01,0.31,0.37,0.03,0.0,0.0,0.12,0.07,0.1,0.01,1.66,0.2,0.36,0.87,TOP,TOP,1.87,6.43,403.24,794.97
166,Akshan,8.91,5.89,4.95,221,24070.78,20399.4,3526.61,19110.72,1432.43,510.09,2.07,0.0,0.0,14465.81,14378.14,14.97,12320.05,11472.15,181.76,2.73,8.91,1.91,19.45,15.31,8.13,2.17,0.61,0.51,0.33,28.32,1.82,0.79,0.42,5.52,3873.18,3873.18,9124.94,0.29,0.51,0.4,0.42,0.56,1652.09,516.17,0.01,0.29,1.15,0.16,0.02,0.0,0.14,0.04,0.1,0.01,1.21,0.13,0.38,0.88,MIDDLE,MIDDLE,2.35,6.7,447.44,874.19
200,Belveth,7.53,4.97,6.49,233,16431.22,33650.28,1945.9,11700.07,2784.21,201.96,20.69,0.0,0.0,28454.28,14202.37,14.88,12192.05,11087.42,39.34,149.73,7.53,2.24,20.85,22.0,3.94,4.2,1.33,1.22,0.38,27.15,1.95,0.99,0.53,6.3,3087.38,3087.38,38571.78,0.29,0.5,0.48,0.53,0.58,1637.27,586.59,0.01,0.26,0.55,0.06,0.0,0.0,0.17,0.09,0.07,0.07,1.45,0.27,0.55,0.71,JUNGLE,JUNGLE,2.82,6.93,446.79,602.14
201,Braum,1.23,5.18,14.36,352,7781.02,22169.73,5818.41,1469.31,492.67,2.45,37.89,452.72,1762.79,24267.82,9747.3,12.05,7384.26,6632.41,23.89,0.32,1.23,6.55,21.39,58.66,26.65,5.44,4.18,3.58,0.34,26.26,1.94,0.83,0.49,5.59,773.34,773.34,2811.23,0.3,0.52,0.43,0.49,0.49,1610.83,537.86,0.02,0.28,0.03,0.0,0.0,0.0,0.03,0.2,0.03,0.11,0.3,0.07,0.53,0.69,UTILITY,BOTTOM,3.01,0.9,275.05,289.83
202,Jhin,6.86,5.09,7.3,736,19969.22,17953.16,952.38,18643.51,372.45,1209.03,27.0,15.74,0.0,9368.56,12778.84,13.99,11649.48,10657.13,187.77,3.3,6.86,2.36,18.87,14.61,8.25,1.81,0.84,0.72,0.33,27.81,1.83,0.8,0.42,5.32,3786.88,3786.88,11165.29,0.27,0.5,0.38,0.42,0.46,1652.28,593.16,0.01,0.32,0.8,0.1,0.01,0.0,0.15,0.12,0.09,0.05,1.15,0.18,0.45,0.8,BOTTOM,BOTTOM,2.78,6.94,423.03,725.15
203,Kindred,8.19,5.63,7.38,385,23048.79,32307.21,3483.98,17250.58,2313.28,583.85,10.69,3116.45,0.0,19063.68,14259.21,14.83,12311.09,11191.03,31.27,153.3,8.19,2.8,21.28,24.17,4.68,4.52,1.91,1.73,0.38,27.72,1.99,0.91,0.49,5.76,2522.68,2522.68,36450.44,0.32,0.51,0.45,0.49,0.51,1667.21,549.57,0.01,0.29,0.83,0.16,0.02,0.01,0.17,0.09,0.04,0.07,0.96,0.21,0.5,0.78,JUNGLE,JUNGLE,2.77,6.64,443.05,829.49
221,Zeri,7.11,5.67,6.3,209,24413.11,21601.53,6095.22,17676.11,640.89,620.54,7.0,0.0,0.0,13069.59,12707.09,14.02,12407.49,11299.04,206.41,12.75,7.11,1.96,19.45,18.18,7.53,4.44,0.65,0.58,0.28,26.14,1.67,0.76,0.42,5.37,4963.21,4963.21,14251.01,0.25,0.38,0.4,0.42,0.44,1651.82,557.52,0.01,0.29,1.04,0.26,0.06,0.0,0.11,0.1,0.15,0.04,1.63,0.21,0.45,0.83,BOTTOM,BOTTOM,2.37,7.96,450.68,886.77
222,Jinx,6.5,5.67,6.7,1306,21919.09,19014.83,723.44,20763.69,431.1,675.36,16.81,4.07,0.0,10319.32,12646.38,13.99,11739.0,10699.64,195.53,8.53,6.5,2.05,19.2,14.63,7.5,2.58,0.6,0.51,0.32,26.84,1.75,0.84,0.44,5.6,5466.78,5466.78,14873.97,0.26,0.46,0.42,0.44,0.47,1646.89,562.38,0.01,0.29,0.97,0.17,0.03,0.01,0.08,0.09,0.13,0.05,1.75,0.28,0.51,0.83,BOTTOM,BOTTOM,2.33,7.43,427.68,798.56
223,TahmKench,3.67,5.62,9.02,207,17724.95,39252.65,13136.37,4029.0,558.85,2.4,33.71,47.18,577.05,39261.11,12147.31,13.64,9214.46,8418.99,91.18,0.7,3.67,3.63,19.65,37.92,17.47,3.77,1.64,1.38,0.27,28.18,1.99,0.86,0.48,5.56,2959.91,2959.91,6092.43,0.22,0.51,0.43,0.48,0.51,1687.14,591.78,0.01,0.25,0.16,0.0,0.0,0.0,0.06,0.12,0.08,0.06,0.89,0.14,0.5,0.9,UTILITY,BOTTOM,2.26,3.27,327.7,630.35
233,Briar,7.79,6.26,6.95,217,20958.92,38955.24,4317.98,15285.31,1354.6,151.23,28.67,0.55,0.0,30305.18,14053.73,14.76,11793.66,10883.79,48.84,126.4,7.79,1.91,19.99,18.5,5.17,2.36,1.26,1.1,0.31,29.29,1.73,0.83,0.44,5.59,1295.19,1295.19,27639.97,0.27,0.4,0.41,0.44,0.53,1654.54,547.59,0.0,0.37,0.64,0.08,0.0,0.0,0.17,0.12,0.02,0.03,0.49,0.1,0.29,0.76,JUNGLE,JUNGLE,2.35,6.35,427.68,760.05
234,Viego,7.86,5.34,6.56,749,18078.67,36521.12,1801.99,15251.41,1024.27,480.15,16.95,26.98,25.12,25410.04,14061.3,14.77,11970.69,10933.5,29.23,150.99,7.86,2.72,20.51,22.21,4.48,3.71,4.35,1.74,0.34,27.56,1.94,0.79,0.45,5.43,1758.81,1758.81,32413.74,0.27,0.51,0.39,0.45,0.48,1668.03,574.1,0.01,0.32,1.04,0.19,0.04,0.01,0.11,0.09,0.04,0.05,0.72,0.12,0.4,0.88,JUNGLE,JUNGLE,2.7,6.48,430.59,650.3
235,Senna,2.88,5.58,13.53,471,15712.62,20846.09,685.96,14631.56,394.37,401.34,36.84,6020.18,2332.23,9434.96,11057.65,12.98,9060.67,8080.42,34.49,1.29,2.88,4.83,21.01,58.0,25.5,6.59,2.55,2.25,0.36,26.69,1.86,0.86,0.44,5.6,2132.49,2132.49,6183.82,0.31,0.46,0.42,0.44,0.51,1683.28,556.01,0.01,0.29,0.15,0.02,0.0,0.0,0.04,0.11,0.06,0.15,0.68,0.12,0.54,0.9,UTILITY,BOTTOM,2.94,1.28,322.96,560.07
236,Lucian,7.52,5.68,5.78,379,24688.41,21350.31,3004.8,21012.4,670.31,608.85,1.88,8.92,0.0,12180.81,12557.88,13.88,11936.09,10973.07,193.77,5.65,7.52,2.12,19.35,15.75,7.87,2.81,0.66,0.58,0.32,26.91,1.97,0.87,0.42,5.54,4415.06,4415.06,13180.52,0.27,0.56,0.4,0.42,0.55,1633.35,565.71,0.01,0.33,0.92,0.16,0.02,0.0,0.16,0.09,0.12,0.08,1.42,0.22,0.48,0.77,BOTTOM,BOTTOM,2.34,7.33,438.46,906.91
238,Zed,7.32,5.78,5.26,382,23781.88,24278.05,1176.14,21263.88,1340.94,30.02,7.49,0.0,0.0,16449.95,14973.77,15.21,11853.36,11104.29,165.96,25.62,7.32,2.67,23.06,16.99,6.27,2.25,0.98,0.9,0.37,27.94,1.87,0.83,0.41,5.57,2900.8,2900.8,8917.77,0.31,0.51,0.4,0.41,0.46,1696.98,552.8,0.01,0.29,0.54,0.07,0.0,0.0,0.1,0.05,0.05,0.01,0.94,0.13,0.32,0.96,MIDDLE,MIDDLE,2.18,6.77,419.1,840.85
240,Kled,5.86,5.83,5.67,115,21606.38,33425.71,123.02,20546.05,936.9,183.74,8.52,0.0,0.0,27570.81,14005.54,14.64,11478.06,10747.9,172.57,4.77,5.86,1.53,20.04,15.57,8.03,1.45,0.33,0.28,0.31,26.96,1.78,0.87,0.43,5.66,7511.72,7511.72,12434.6,0.28,0.51,0.4,0.43,0.53,1591.78,531.83,0.03,0.3,0.38,0.05,0.01,0.0,0.21,0.04,0.17,0.02,2.19,0.26,0.52,0.72,TOP,TOP,1.98,6.68,432.65,814.42
245,Ekko,7.52,4.9,5.74,419,20665.92,29445.96,16494.78,2451.47,1718.66,0.0,17.89,0.0,0.0,21063.95,14396.04,14.83,11894.36,10991.82,111.16,75.41,7.52,2.77,18.77,18.61,5.39,2.69,1.22,1.06,0.34,27.41,1.85,0.93,0.47,5.84,4078.84,4078.84,20414.98,0.28,0.48,0.44,0.47,0.54,1649.5,590.2,0.01,0.28,0.69,0.12,0.01,0.0,0.13,0.09,0.07,0.04,1.32,0.29,0.55,0.81,MIDDLE,MIDDLE,2.71,6.79,432.65,751.72
246,Qiyana,7.53,5.63,5.8,204,21983.1,24841.15,1838.14,18413.62,1730.42,10.54,18.83,0.0,0.0,14414.26,14181.85,14.67,11671.87,10782.35,135.8,42.86,7.53,2.44,21.66,18.95,5.78,2.8,1.23,1.09,0.43,27.99,1.81,0.99,0.45,5.85,3351.27,3351.27,13151.23,0.34,0.44,0.44,0.45,0.5,1656.38,576.66,0.02,0.29,0.56,0.06,0.0,0.0,0.15,0.08,0.06,0.01,1.06,0.26,0.52,0.68,MIDDLE,MIDDLE,2.37,6.47,422.8,796.31
